x	uextbe1	uapxbe1	ebe1
0.772277227722772	0.0944546968916041	0.0944555087946878	8.11903083930421e-07
0.782178217821782	0.0918204741037235	0.0918212660116323	7.91907909108991e-07
0.792079207920792	0.089061523853389	0.0890622945431832	7.70689794399315e-07
0.801980198019802	0.0861766050815113	0.0861773533078937	7.48226382643602e-07
0.811881188118812	0.0831644643802559	0.083165188875248	7.24494992346281e-07
0.821782178217822	0.0800238358701706	0.0800245353427848	6.99472614454355e-07
0.831683168316832	0.0767534410760915	0.0767541142119985	6.73135907194866e-07
0.841584158415842	0.0733519888018129	0.0733526342630053	6.45461192619323e-07
0.851485148514851	0.0698181750035118	0.0698187914279623	6.16424450733399e-07
0.861386138613861	0.0661506826619105	0.0661512686632272	5.86001316901785e-07
0.871287128712871	0.0623481816531699	0.0623487358202459	5.54167076276257e-07
